Transition,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4514.255Ni1,25,21.814517074350753,1173.415254396818,-0.14693280370562073,-153.08079635489932,-394.42472446850144,1.2532403150617575e-05,87.6885153575714,50.30932585581854
4514.255Ni1,26,15.423699351104048,-1784.2467649673604,-1.8279529251586046,-155.36865305004477,3299.8334847993174,0.00015801869047101405,2.4067523314850012,-385.6077727388118
4521.249Ni1,25,12.678931972185008,5126.3998592646585,-1.5335983135607718,97.64285132575509,-362.3776939841058,0.00013836549328755742,-147.7323256621862,46.14674316368127
4521.249Ni1,26,12.160799815213535,9499.508772437117,-1.4970704369308006,92.60239887551536,-2516.11932591583,0.0001399039164183968,-77.85584734678156,296.51877202728
4552.923Fe1,26,16.153647083914667,2060.3067688303463,-2.5833200855739085,29.05188259748972,2488.165922479724,0.000220514083127752,95.5854130630967,-281.9889687648787
4552.923Fe1,27,8.860357915543897,2652.869561444374,-0.49380668456849003,15.160879262697492,-593.2843919973619,4.260258636747493e-05,98.17175356294,71.56767235058649
4553.422Fe1,26,21.599644789168494,16298.741761336372,-6.55602246345951,-119.3958620206752,891.1409346644998,0.0005915519653366089,-129.67090539603103,-117.68300233990202
4553.422Fe1,27,26.211286565690344,24906.262379072843,-9.311099827263892,-161.52550173469913,469.7135477545353,0.000844423878587228,-101.76576572888469,-78.93107052373946
4554.443Ni1,26,38.48089715479115,-3777.46218489903,3.3288654177837254,-163.09958832958733,-3330.8117554499295,-0.0002651968215049512,-147.18913218084606,406.42925236112256
4554.443Ni1,27,39.936075323437244,-1193.853736844447,3.6405846446765704,-202.88730053535207,-4877.142964349047,-0.00029116187372467807,-193.11910739020834,574.3696930362979
4569.604Ti2,27,15.410952063466917,470.4312551123424,-2.156172160550654,86.91105534172401,2549.400256843652,0.0001889671752295335,47.27416220525091,-286.36900572913476
4569.882Fe1,27,27.757783408874754,22751.90051429753,-8.321356709486013,29.2525797043015,180.15035117283102,0.0007397937192750548,-70.64501231566528,-6.026571655517635
4575.498Fe1,27,6.270433180060986,-1701.2392796771355,-0.7574804046002108,25.76442506437341,1810.8169202230367,6.391616791011866e-05,50.37043553409297,-208.81611382048624
4576.000Fe1,27,4.8116685855793095,767.9033807559974,0.4162191041915273,31.59092963318394,-885.1825888209625,-3.882709918560283e-05,-11.303878076326711,103.88871640837394
4577.610Fe2,27,11.059243758755295,-383.43511691567903,1.7765421955822556,-27.73879439872812,-2175.533887991584,-0.00013841231296687442,-57.941125627055264,241.5753146982233
4579.830Ca1,27,11.842101541558543,-6514.90546767841,1.841027938189064,32.30024833317463,882.8705474812173,-0.00016562636535279025,-6.01266799810746,-106.84036723721442
4579.830Ca1,28,7.760001218758055,-600.524130567539,0.8140127621927306,33.62711003249786,-541.7665900408224,-7.189745280218356e-05,18.729656145542805,55.93576785289251
4584.412Fe1,27,18.9145060622542,2616.682997094727,-4.450722004663232,-32.19672058654836,4538.845032358882,0.00039168616956373965,77.80054515876984,-527.753406665263
4584.412Fe1,28,17.562152724071034,1530.7368558094345,-2.915919934787709,25.851168949302714,2940.341214400995,0.00026371346956247007,-42.14865916978848,-345.7071571143374
4584.693Ti2,27,11.13929908711751,812.740807189276,-0.9870267078595791,-124.65149605200328,776.8662222944017,9.44506184049792e-05,-57.919208986967895,-86.35279457078805
4584.693Ti2,28,10.45097679508961,8670.914266249893,-0.9166517626559127,-133.25158262421357,-2965.634439163291,9.107300844612345e-05,-75.53541197775871,344.0818860702332
4587.651V1,27,24.0984953111359,-14360.71491498745,3.593968380112906,-87.3622612298824,2268.4164978415865,-0.0003436778267338583,153.58358301972274,-256.6394496564462
4587.651V1,28,32.053968619628414,-26370.98514278808,8.386520881948883,-140.34888875683117,1626.2271366665248,-0.0007692191785680741,242.77968261072843,-188.54481251705323
4588.413Fe1,27,11.464432302198647,-1287.199741129768,1.152155162498273,0.5606772737836028,-883.5950324956585,-0.0001081578442391138,6.637054367184917,109.03447578319091
4588.413Fe1,28,4.912226406810493,-2124.3075289937483,1.0427147209463485,-23.228518835013922,-325.6073897495534,-9.76403685845766e-05,-6.093662818768714,39.962262934623716
4589.484Cr2,27,13.887939075932247,805.1350120671063,1.0318666519081576,-18.323674976296846,-1834.9911049445689,-7.712246704902993e-05,-77.70845482107416,203.18880733208593
4589.484Cr2,28,9.983326296201994,2374.7228340403944,1.3844670648836708,-34.69711111763212,-3091.339883821546,-0.00010484959695432157,-86.24779041667831,349.08558576498524
4592.075Fe1,28,19.12239870587681,-8671.05523514558,0.5748020010799648,-11.228582723965074,3435.2601745544334,-5.7311346715792314e-05,79.85784118259791,-415.70798785532844
4595.452V1,28,13.816755194492728,2888.809765572645,-2.1621745623542585,-77.12281182214821,148.64768323240668,0.00018057812919488768,4.297349292905752,-16.637028359199416
4599.405Fe1,28,7.022286968009303,-2846.0579228430825,1.683493075451871,145.10110406069577,-785.8249507580435,-0.00015323876689584727,33.9101706245442,92.60198531054148
4600.028Fe1,28,14.275647427888728,-14535.188410630626,3.248306602789826,-37.22274612110236,2430.909223629028,-0.0002965444663153798,-100.74765996326983,-258.6812983880631
4604.632Fe1,28,22.869346373068566,7107.62929701407,-0.6519474107684575,20.928676280591368,-2499.3293842456947,5.7906562043167165e-05,-172.27199220756796,287.1998058832603
4605.238Fe1,28,66.84211025457401,-47469.44252674594,14.11411260356537,-352.97001787626493,3721.478037666058,-0.0012844018637284001,366.80921590413857,-410.8145436537683
4605.847Fe1,28,11.307907836426969,-3132.9242833436306,-0.8390328450300065,159.4699423573782,2559.0807537707415,7.263057946561545e-05,101.22101488196401,-307.10004668625197
4606.878Fe1,28,15.701535386955955,-9292.277368231991,0.9903636573183533,14.53972515736866,3016.0021230786956,-9.335580221204412e-05,26.853156348432343,-356.21610717446885
4618.561Ti1,28,10.770517390654952,-3011.8786863238856,1.1179580505557356,4.021942809983734,76.95693581582798,-0.00010563344874614954,3.314307966568396,-8.42904379247364
4618.561Ti1,29,7.428124230577487,-947.115092439518,0.4318422409203727,-1.426283044219639,20.719454844050873,-4.365154724538608e-05,-6.116435735030769,-4.338896435978977
4637.144Fe1,29,3.519366340526929,-995.1842705353273,0.599970610147232,-9.145632301992555,-299.73600958045915,-5.6010897738885245e-05,-13.841337858748414,36.97502061161906
4638.802Fe1,29,9.238725213243107,-2488.437001342857,2.240415541757312,81.07003881911757,-1693.6165278800395,-0.00019985496680541818,-20.008996515987935,192.3181705570692
4651.118Fe1,29,35.01399851422506,-2093.4158915149856,4.1588541834326165,-205.09566443346316,-4267.241657020696,-0.000388736548763963,8.193702930234817,493.06179948896227
4651.118Fe1,30,38.818883401967035,-21854.055366919925,6.278603167744293,-251.6834416559344,2131.2400352079694,-0.0005853496767858355,125.68668562656165,-237.28301580190015
4651.312Ti1,29,14.483299397249201,11536.84037948757,-3.382171903996321,56.15367988832228,-1074.4789155774204,0.0003126255785545675,-39.704514033306,124.19873856117397
4651.312Ti1,30,21.16800105528319,8636.239808377657,-4.4876598195640005,70.85759584111648,1773.479828315872,0.0004113913839037187,-68.35641880803396,-211.16049010186978
4652.593Cr1,29,8.95835371051837,-4009.020695525263,2.3808946407658107,62.97878211459844,-1342.380199778386,-0.00021066472940512706,22.228186444722922,147.70830827239712
4652.593Cr1,30,9.37275335351795,-5684.796616676501,2.406276375476208,79.78053063666977,-617.8424832864939,-0.00021098406209285934,22.047941285389925,63.35454064329237
4653.460Cr1,29,9.897183825562268,-3436.930732911713,1.602875366766391,147.8310987877111,-421.8219849734365,-0.00013675544554626906,11.77674629760439,42.22858941529296
4653.460Cr1,30,13.39656570607897,-2746.0283395647257,1.3285333618481825,202.8304266681347,-405.55706664500843,-0.00011170580278418817,16.350200856917525,43.02123740537825
4657.487Cr1,29,14.378708554757234,-6636.384986937819,0.3195989495654229,-2.527974383143415,2749.594331208991,-3.378003885443602e-05,59.29761308221734,-317.24780225097055
4657.487Cr1,30,12.096413946329362,-6437.29083969828,1.4839771794446224,-0.5849290677726589,1040.9884737960062,-0.00013258931443111473,29.086259745113107,-115.93810338725228
4658.285Fe2,29,10.735986048670167,3010.5630064488764,1.2732175951551088,-42.900797402837,-3477.9302171373934,-9.566546160471478e-05,55.87557690829591,401.9281103541938
4658.285Fe2,30,7.571054879814564,3166.790414861526,1.4300328532652626,-54.44312835761141,-3783.413147273449,-0.00010707782713924847,-4.866741461449556,436.43403225052947
4659.599Fe1,29,19.475275748653683,-1095.4090417756343,-1.0746661934621944,34.0159943328509,1998.103253227563,9.518079275983112e-05,-105.18107335378302,-240.887989747518
4659.599Fe1,30,20.41119792231521,-1427.1919171165862,0.23377950078097887,39.52185101663082,378.96945953655427,-1.4352567071850368e-05,8.162024740862076,-57.007119428295084
4661.736Fe1,30,21.538707055887254,-4288.456695794353,-3.826361426641494,34.713403854656,6864.222865106886,0.000344338338017923,115.24574370703913,-817.5945906954928
4662.839Fe1,30,7.628310411014315,-5978.905770042259,-0.5496578203273649,26.704719253831033,3601.852124761036,4.3130534145924095e-05,70.46322065975787,-422.7796091171569
4668.292Ni1,30,28.68300857527306,-17871.381846856337,1.5256019810732042,-175.34019132030346,6196.4755899633,-0.00013992816028547063,270.3457678912675,-716.8792799424092
4680.155Fe1,30,11.226351666064131,-7699.727582486052,3.08830298214727,46.66528756824076,-330.03038567996947,-0.00027191511581740614,20.067676757674384,26.27015802875863
4681.605Fe1,30,6.7469455648604955,-10040.881293325225,2.7814385774656243,-8.707617657717384,1075.2989453783598,-0.0002559551734109041,36.98496722550097,-117.49164514072095
4682.783Fe1,30,11.668272120105152,-6309.236639052894,1.4947203969703473,-57.514551269127,612.5422830018272,-0.00012060045666686417,-3.8896093014564888,-77.73239567297561
4683.218Ti1,30,9.398481024581743,-3994.5514654786366,1.7668977163119273,32.25731128469349,-277.5304098359365,-0.0001590178194988478,37.59820145403716,25.4883648396645
4683.421Fe1,30,9.415213870531094,-1684.6559651766781,0.44934688212676255,108.36520191290738,181.2580691511014,-3.7547370738582966e-05,10.34645706125406,-22.218319514823385
4683.421Fe1,31,10.082257373758035,-6206.831296020802,1.612473491256507,109.5787411012359,724.5810526501707,-0.00013668994279622938,24.25345737515041,-88.08575445139961
4683.871Fe1,30,12.28335189529964,-304.9784170514332,0.30997157009733156,-80.6822065371291,-438.464970855749,-2.871950860844095e-05,26.108133660555612,60.51602773058126
4683.871Fe1,31,19.762006503205566,-1994.106475704256,0.925456773559254,-82.63731783302457,-534.5696626406552,-8.056901916824323e-05,9.754809630601583,73.94695014779275
4684.870Fe1,30,6.57688597895206,-1254.342349643636,0.27341945321922645,-21.17884703539674,318.257166499654,-2.9852637256279976e-05,9.307347206270856,-37.14063017709992
4684.870Fe1,31,6.187095130119179,-1098.6732337375029,0.9138058737342079,-24.72885499529195,-652.7626888350017,-8.220061930382828e-05,15.701447190767476,74.19495494051783
4689.488Fe1,30,6.487816631977484,-2387.1285956886577,-0.6538505348976814,50.45569656549209,1831.7298717163478,5.8565574339051266e-05,12.228047095550966,-208.4021630578008
4689.488Fe1,31,7.818334544043388,1732.47500052956,-1.1029923109399955,40.167895817427315,441.4075578175446,0.00010281202370468686,-21.7050707718044,-47.54053664305315
4737.168Fe1,32,6.082315937239925,-41.558689213778884,1.2667796753935225,-11.061616374349136,-1670.388192333967,-0.00011216847081885248,-41.363158638706736,196.01079609663438
4738.098Fe1,32,15.958384033823489,-11130.321821760714,4.902783051241132,137.25380857693096,-1057.5473559963825,-0.0004272600560898311,64.57635175735382,103.48819046449631
4742.856Fe1,32,8.774344086058802,-3549.347198936099,2.115431726933955,-6.005900484232987,-1081.0601120798365,-0.00018763198609376925,-57.72309245999389,121.29861519157332
4757.448Cr1,32,6.605189027563934,-950.328342768173,1.1996170596742695,24.21586194735526,-1304.4183645951287,-0.00010999271770595326,-44.685581103244616,156.9599934405993
4757.448Cr1,33,8.29995949134199,691.7618767242653,1.4074459732896092,15.187237522323283,-2348.496338894239,-0.00012479814462024665,-42.16790534442735,273.3647068524351
4759.449Ti1,32,5.688238412575457,-1144.1729536489813,-0.8441020323740056,-12.879800735500336,1747.2139023048426,6.691381213376889e-05,40.39306913901551,-200.79355734406252
4759.449Ti1,33,9.646937349694566,-331.0711293100242,-0.8265644434778322,-16.96722317238682,1355.3472888682888,6.77951815192803e-05,-19.484194138753555,-159.47199363672038
4760.600Ti1,32,3.7967803705980367,-851.5589349429113,-0.49465792874303505,-22.450627496516766,1179.9960171899022,3.4799522948240406e-05,-10.160344207641836,-134.98558928276083
4760.600Ti1,33,10.031766338802623,975.8357105311671,0.3410620682857861,-20.31245354576358,-791.3297134119362,-3.485560548108349e-05,-24.787904654425063,90.16848907148096
4762.860Mn1,32,12.336858288188713,-2340.2803672860223,1.78800518375043,59.928792521236545,-1353.1267676506234,-0.00017088710470909867,-12.808811776963564,169.236802428682
4762.860Mn1,33,10.836230287451674,-946.654174990774,1.5707987862106498,19.64017323394603,-1722.3893626205418,-0.00014942891803752987,-49.10842340065428,208.7252965548376
4764.110Ti2,32,23.553784727870667,-10002.388833390027,1.879256033246949,-257.8967840342555,2311.706247390922,-0.00017664042744257823,103.97785393269847,-270.16797295158744
4764.110Ti2,33,37.0173427866809,-15196.815381240362,4.652311059163935,-305.39183154760667,1060.9030429156537,-0.00042097243890628884,69.15699408904943,-125.28075456682892
4765.626Cr1,32,11.735966731905563,8581.648411230466,-2.9169895372102386,-22.205255263532727,-97.72652484342028,0.00024995520894630313,28.29731166261427,14.235706887637942
4765.626Cr1,33,11.08331000440517,-2668.397976965168,-0.7863528481048371,-8.410431381936458,2224.2462585882295,6.683239967367375e-05,30.96576856946811,-251.57219591310815
4767.190Mn1,32,10.758558806954078,-1036.2548180325882,2.107483193270694,69.74870111414313,-2209.4709391413644,-0.00019005156949984653,-58.68995528063889,260.8686145695054
4767.190Mn1,33,8.323207786494555,-3084.4999881233966,2.0912635575868457,49.50340377535963,-1275.4923271194423,-0.00018670707854166868,-13.515543728634208,152.23897809751276
4769.189Cr1,32,6.277285177198356,4560.389010787671,-0.33470943723453345,-131.18106230167194,-1637.5620007194268,2.396569681627127e-05,24.5256380978694,191.1036761183424
