Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4966.553Ni1,4977.524Ni1,38,21.846107907578418,676995.1518366954,0.8852079738904984,-20.495582701412054,-8840.338848682437,-7.086538923606465e-05,-331.9159797577879,1052.489759412682
4966.553Ni1,4977.715Ni1,38,19.85136758417435,673822.7636475518,1.0364214726557408,-25.62672858365161,-2104.9925441017563,-8.923073502067919e-05,-290.30168697821154,271.6205560631769
4971.304Fe1,4983.890Fe1,38,6.444620536330711,749637.5175338462,0.8699245543124331,-28.54632929074603,2771.450313132354,-7.738664430182539e-05,38.00626398189095,-319.08220362228934
4977.524Ni1,4977.715Ni1,38,5.661962511784942,-3336.792858831379,0.3919066318297031,5.251618237114508,6464.950045476282,-3.894557509291776e-05,40.487670593203234,-747.3042341797667
4977.524Ni1,4987.613Fe1,38,18.674800454786457,583394.5820045432,-4.384064020725414,-77.38353581711198,17126.049269708863,0.00036368286302987694,147.46977045456978,-1983.676227900851
4977.715Ni1,4987.613Fe1,38,13.02045646510332,590250.6071786884,-5.182401841819753,-78.65365209933157,9551.400190772523,0.00043959503070692976,151.00949605044772,-1108.512695664745
4983.890Fe1,4985.243Fe1,38,4.6013553049080285,79844.0213712955,-0.44841580545748044,-46.00584837515025,1312.0806378674583,3.591165687078627e-05,10.704998851687542,-147.36713085572694
4983.890Fe1,4985.507Ni1,38,6.417163208283258,104985.24655810479,2.2006363726807097,54.54846065160939,-6651.717890946658,-0.00019151136635465923,-12.649165866437643,774.6054682320018
4983.890Fe1,4986.644Fe1,38,2.4929064334382116,167936.84918204555,-0.26086679119259254,-17.982960315836927,-715.2170456281605,2.0093098277231245e-05,-28.62150921631286,82.07771630112184
4983.890Fe1,4986.938Fe1,38,2.9236343607564383,182637.5662081984,0.4307654336138599,-78.27901807949675,-208.22075121687973,-4.235328347465589e-05,42.234336858133545,23.245964085937384
4983.890Fe1,4990.341Fe1,38,3.8807999514915466,394411.97302238405,-0.8099263209405188,13.065959809180598,-1957.1233291101194,6.898828658930849e-05,-42.601011797189656,221.77802326552566
4985.243Fe1,4985.507Ni1,38,4.760881937980367,24826.090590455202,2.678071548834252,97.79955789208704,-7856.2446711526345,-0.00023030646571095743,-27.613966072119897,910.1062197352292
