Transition 1,Transition 2,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4997.044Ni1,5006.566Ti2,39,17.129394439771957,564732.9043610011,-0.31189141611320065,144.0477680850706,3087.9357211924203,2.49424588904431e-05,7.6833833550013155,-342.80703287558305
4998.487Ti1,5006.566Ti2,39,19.564809945906166,480512.09886400215,0.12282147102102768,176.65059678904527,1247.3261088933632,-1.4895372803566164e-05,-25.591538941467004,-112.43163243678266
5130.585Ti2,5130.810Ni1,42,16.295788722286673,-1816.599482979819,4.800250231296465,188.49210431942825,22.73567708251096,-0.00042358363863990436,-18.240462497393448,25.68182007633312
5130.585Ti2,5132.898Fe1,42,13.177246714435837,129496.07143107717,1.3134329166828398,167.28171322540834,1223.5305568024696,-0.00013874638004479902,83.42602636543971,-138.27297083576565
5130.585Ti2,5133.204Ni1,42,25.460039996816697,167670.34012324462,-2.6522078848029436,49.9746999211773,-4027.0288173730005,0.0002270806397045223,-174.64228850943692,521.4129640877874
5130.585Ti2,5135.118Fe1,42,11.757681457079123,256453.14882644918,2.4500401876860534,160.3578353894751,858.1824527542909,-0.0002252006186258784,27.136650628404183,-95.99114233334902
5130.585Ti2,5138.510Ni1,42,14.248658401363956,463409.438371265,0.8984147983146166,140.00126471332274,-1938.0680138655914,-7.967114795793458e-05,-130.80802909273086,254.45963065161078
5130.585Ti2,5138.813Fe1,42,9.427885592856205,475989.71938682225,0.9182921035635198,129.16324205483008,1032.5417354646593,-9.765865150745926e-05,11.857924029690327,-109.5299313712791
5130.585Ti2,5143.171Fe1,42,7.196733625723531,724203.6802126169,3.0850239269280397,112.20623064047072,746.802651186076,-0.00028112501448471883,16.53980387151473,-70.12119822899793
5130.585Ti2,5144.213Ni1,42,24.440668687311067,840104.5195479388,-12.017102778519563,672.0475023638729,-4923.308879087071,0.0010504850584733233,-58.30588378117899,581.92366817456
5130.810Ni1,5132.898Fe1,42,16.818599138145284,133624.07948374774,-3.651227373271329,-20.054924532877912,363.40854349610674,0.00029929206837401255,104.10719218528818,-68.919438792981
5130.810Ni1,5133.204Ni1,42,14.677088866198552,172275.76007904272,-7.684237016834788,-133.94116877783995,-5049.940438502839,0.000671669316510514,-204.37315482318152,612.026150678659
5130.810Ni1,5138.510Ni1,42,4.586014113700654,467079.3590944712,-3.171377317863969,-37.77243520775315,-3811.6436970821333,0.0002819562479462424,-120.21528634719415,442.5395942875139
5130.810Ni1,5143.171Fe1,42,9.259999582422543,726692.6514292945,-2.051691594921269,-78.71930483249325,853.5016946511694,0.0001722967897407078,32.301829853842385,-111.0387356983811
5130.810Ni1,5144.213Ni1,42,21.762968502800906,835263.2935909168,-14.979566300492024,475.0481089569384,-4332.493281861283,0.0013165392679584692,-59.25396809340801,484.0540703207591
5132.898Fe1,5135.118Fe1,42,9.731397985441625,127915.91681300565,1.2295692187516065,-7.035573320549044,-925.215319791905,-9.4967118181448e-05,-63.08471544219253,106.92497328617635
5132.898Fe1,5138.510Ni1,42,15.507296034252851,333403.52306956076,-0.5081758644451383,-27.311686282293948,-2845.2741093213403,6.802129725114315e-05,-222.1178550277851,359.53630135581926
5132.898Fe1,5138.813Fe1,42,11.045599101646246,347063.7230962771,-0.4079326745712,-38.382523421876684,-427.16099947675565,4.182475132168672e-05,-85.97817164958681,55.51624280409825
5132.898Fe1,5140.894Fe1,42,14.410327651554773,447803.7681438998,4.6557656932091716,-98.97673240140253,2630.9137988832845,-0.00040348392926294665,-25.099762265058565,-310.9737533632195
5132.898Fe1,5143.171Fe1,42,11.207784527670807,594621.9300487302,1.449409950349381,-58.45673465537713,2.5218688663079547,-0.00011485307586369707,-77.56965651667703,12.32878429190503
5132.898Fe1,5144.213Ni1,42,19.12282077436218,704892.395689704,-11.559961659037624,499.72942970034694,-5883.1036828203305,0.0010370443510030608,-115.02403851105365,689.4813422144202
5133.204Ni1,5134.091Fe2,42,43.43125742932962,42938.52649532007,-4.99924156378434,76.02082144910358,12514.849311679838,0.00036731825885198775,429.341835082162,-1482.2881138303849
5133.204Ni1,5137.524Fe1,42,22.81612975250473,207695.29620187596,9.965195089551356,180.1516532318883,7595.723632258334,-0.0008411238766632379,239.46660583351164,-934.9573895544954
